"","nll","beta","rho"
"203",-530.099081183344,25.001,0.751
"204",-530.346664030405,27.501,0.751
"205",-530.621746444451,30.001,0.751
"206",-530.714481144343,32.501,0.751
"207",-530.841276636798,35.001,0.751
"208",-531.053214931137,37.501,0.751
"209",-552.620422318571,0.001,0.8135
"210",-474.731047909012,2.501,0.8135
"211",-520.514645948229,5.001,0.8135
"212",-520.855905490122,7.501,0.8135
"213",-522.55282555832,10.001,0.8135
"214",-523.510810435406,12.501,0.8135
"215",-524.245088056546,15.001,0.8135
"216",-524.679002108645,17.501,0.8135
"217",-525.060916487378,20.001,0.8135
"218",-525.416781735079,22.501,0.8135
"219",-525.681938354574,25.001,0.8135
"220",-525.926742577376,27.501,0.8135
"221",-526.112011060575,30.001,0.8135
"222",-526.312489794093,32.501,0.8135
"223",-526.468329572123,35.001,0.8135
"224",-526.570769319087,37.501,0.8135
"225",-552.620422318571,0.001,0.876
"226",-486.419024356185,2.501,0.876
"227",-518.724195452504,5.001,0.876
"228",-518.116786132619,7.501,0.876
"229",-519.252962782056,10.001,0.876
"230",-520.011736197809,12.501,0.876
"231",-520.484217791642,15.001,0.876
"232",-520.904710001957,17.501,0.876
"233",-521.233786847839,20.001,0.876
"234",-521.571470392945,22.501,0.876
"235",-521.767927115008,25.001,0.876
"236",-522.010674613725,27.501,0.876
"237",-522.203422118391,30.001,0.876
"238",-522.291034278779,32.501,0.876
"239",-522.467656666738,35.001,0.876
"240",-522.568732457098,37.501,0.876
"241",-552.620422318571,0.001,0.9385
"242",-504.229148767335,2.501,0.9385
"243",-517.841870435331,5.001,0.9385
"244",-518.40202638848,7.501,0.9385
"245",-518.952742219539,10.001,0.9385
"246",-519.418775116982,12.501,0.9385
"247",-519.812445356838,15.001,0.9385
"248",-520.079456499456,17.501,0.9385
"249",-520.383672688955,20.001,0.9385
"250",-520.650617542881,22.501,0.9385
"251",-520.833648621463,25.001,0.9385
"252",-520.996882651909,27.501,0.9385
"253",-521.194817610531,30.001,0.9385
"254",-521.309665669134,32.501,0.9385
"255",-521.480073076785,35.001,0.9385
"256",-521.632581226597,37.501,0.9385
